Draw Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
6th February 1999,15,25,32,39,48,32,0,$24.2 Million,R,,,,
3rd February 1999,20,26,30,39,42,32,0,$19.1 Million,R,,,,
30th January 1999,19,24,25,40,45,5,0,$16 Million,R,,,,
27th January 1999,2,4,20,23,44,22,0,$14 Million,R,,,,
23rd January 1999,3,19,26,30,49,31,0,$12 Million,R,,,,
20th January 1999,2,12,19,40,48,27,0,$10 Million,R,,,,
16th January 1999,2,15,20,28,40,15,0,$67.1 Million,1,NH,,,
13th January 1999,15,31,33,43,47,6,0,$58 Million,R,,,,
9th January 1999,5,10,11,27,32,13,0,$50.9 Million,R,,,,
6th January 1999,2,9,13,16,44,36,0,$44.7 Million,R,,,,
2nd January 1999,4,17,23,26,39,27,0,$39.7 Million,R,,,,
30th December 2000,23,26,29,38,46,35,0,$10 Million,R,,,,
27th December 2000,15,22,24,32,39,18,0,$32.8 Million,2,DE,LA,,
23rd December 2000,6,11,15,22,27,27,0,$28.7 Million,R,,,,
20th December 2000,4,7,31,34,41,28,0,$24 Million,R,,,,
16th December 2000,2,26,33,34,39,23,0,$20 Million,R,,,,
13th December 2000,6,10,19,38,43,41,0,$16 Million,R,,,,
9th December 2000,8,10,14,41,42,20,0,$14 Million,R,,,,
6th December 2000,7,15,20,23,45,17,0,$12 Million,R,,,,
2nd December 2000,11,14,22,38,41,39,0,$10 Million,R,,,,
29th November 2000,1,4,20,27,29,17,0,$130 Million,1,NM,,,
25th November 2000,2,37,38,39,42,22,0,$104 Million,R,,,,
22nd November 2000,5,18,40,44,47,34,0,$89.7 Million,R,,,,
18th November 2000,3,27,31,32,41,33,0,$76.5 Million,R,,,,
15th November 2000,12,26,32,41,46,18,0,$68.2 Million,R,,,,
11th November 2000,4,12,21,38,46,37,0,$60.3 Million,R,,,,
8th November 2000,13,17,37,45,49,4,0,$53.1 Million,R,,,,
4th November 2000,5,9,22,34,42,2,0,$47.5 Million,R,,,,
1st November 2000,4,10,14,29,39,10,0,$41.6 Million,R,,,,
28th October 2000,6,11,32,37,47,13,0,$36.9 Million,R,,,,
25th October 2000,3,5,20,45,46,37,0,$32.3 Million,R,,,,
21st October 2000,13,19,24,44,45,16,0,$28.3 Million,R,,,,
18th October 2000,17,21,28,42,43,25,0,$23.8 Million,R,,,,
14th October 2000,14,16,18,22,41,37,0,$20.4 Million,R,,,,
11th October 2000,26,32,41,44,45,35,0,$18 Million,R,,,,
7th October 2000,4,7,27,34,39,1,0,$16 Million,R,,,,
4th October 2000,3,16,24,34,48,3,0,$14 Million,R,,,,
30th September 2000,19,24,32,43,44,39,0,$12 Million,R,,,,
27th September 2000,24,32,42,44,47,15,0,$10 Million,R,,,,
23rd September 2000,1,17,27,35,36,31,0,$28.7 Million,2,IN,MO,,
20th September 2000,17,21,23,33,45,11,0,$24.5 Million,R,,,,
16th September 2000,1,19,40,47,49,14,0,$20.9 Million,R,,,,
13th September 2000,2,13,21,22,47,31,0,$18 Million,R,,,,
9th September 2000,14,18,20,29,42,2,0,$16 Million,R,,,,
6th September 2000,4,6,12,28,42,6,0,$14 Million,R,,,,
2nd September 2000,5,14,20,22,26,35,0,$12 Million,R,,,,
30th August 2000,4,25,29,36,46,8,0,$10 Million,R,,,,
26th August 2000,16,22,27,40,43,5,0,$14 Million,1,NE,,,
23rd August 2000,20,28,40,43,47,31,0,$12 Million,R,,,,
19th August 2000,10,13,17,23,36,23,0,$10 Million,R,,,,
16th August 2000,15,16,27,44,47,14,0,$22.9 Million,1,MN,,,
12th August 2000,6,31,38,46,47,21,0,$19 Million,R,,,,
9th August 2000,11,17,18,19,28,34,0,$16 Million,R,,,,
5th August 2000,13,28,32,33,38,14,0,$14 Million,R,,,,
2nd August 2000,12,27,33,42,49,31,0,$12 Million,R,,,,
29th July 2000,11,24,26,38,41,7,0,$10 Million,R,,,,
26th July 2000,3,20,22,37,44,36,0,$10 Million,1,WI,,,
22nd July 2000,2,12,15,33,41,33,0,$65.4 Million,1,KY,,,
19th July 2000,5,8,18,36,38,40,0,$56.7 Million,R,,,,
15th July 2000,5,8,21,46,49,34,0,$50.6 Million,R,,,,
12th July 2000,6,9,10,26,48,10,0,$44.5 Million,R,,,,
8th July 2000,2,7,10,34,39,12,0,$39.6 Million,R,,,,
5th July 2000,10,14,18,32,33,2,0,$35 Million,R,,,,
1st July 2000,13,14,22,32,42,26,0,$30.9 Million,R,,,,
28th June 2000,13,24,27,30,45,18,0,$26.3 Million,R,,,,
24th June 2000,2,13,26,27,49,4,0,$22.4 Million,R,,,,
21st June 2000,1,24,27,28,43,25,0,$18.2 Million,R,,,,
17th June 2000,6,15,25,44,47,7,0,$16 Million,R,,,,
14th June 2000,21,23,32,34,42,5,0,$14 Million,R,,,,
10th June 2000,2,16,32,40,47,15,0,$12 Million,R,,,,
7th June 2000,19,39,45,46,49,17,0,$10 Million,R,,,,
3rd June 2000,13,14,15,31,37,10,0,$12 Million,1,MO,,,
31st May 2000,15,16,22,42,43,11,0,$10 Million,R,,,,
27th May 2000,2,22,29,30,44,36,0,$60.6 Million,1,KY,,,
24th May 2000,7,19,43,46,47,4,0,$53.3 Million,R,,,,
20th May 2000,5,17,40,44,48,26,0,$46.8 Million,R,,,,
17th May 2000,16,17,20,28,49,34,0,$40.9 Million,R,,,,
13th May 2000,1,3,27,38,42,24,0,$35.1 Million,R,,,,
10th May 2000,8,18,20,31,47,11,0,$29.4 Million,R,,,,
6th May 2000,4,27,29,39,41,16,0,$24.1 Million,R,,,,
3rd May 2000,5,13,34,41,48,7,0,$18.2 Million,R,,,,
29th April 2000,12,14,26,35,36,37,0,$14 Million,R,,,,
26th April 2000,5,10,17,24,37,15,0,$12 Million,R,,,,
22nd April 2000,3,5,9,42,48,35,0,$10 Million,R,,,,
19th April 2000,3,8,9,20,49,22,0,$79.7 Million,1,KY,,,
15th April 2000,15,26,28,40,48,9,0,$69.6 Million,R,,,,
12th April 2000,4,6,20,25,31,6,0,$59.9 Million,R,,,,
8th April 2000,4,9,12,33,48,18,0,$52.5 Million,R,,,,
5th April 2000,6,8,11,18,39,40,0,$46 Million,R,,,,
1st April 2000,3,4,13,29,38,21,0,$40.1 Million,R,,,,
29th March 2000,12,32,37,40,49,37,0,$33.7 Million,R,,,,
25th March 2000,6,30,43,45,48,32,0,$28.5 Million,R,,,,
22nd March 2000,3,12,30,41,46,32,0,$23 Million,R,,,,
18th March 2000,12,30,39,43,46,10,0,$18 Million,R,,,,
15th March 2000,14,15,19,38,44,20,0,$14 Million,R,,,,
11th March 2000,2,11,23,28,31,39,0,$12 Million,R,,,,
8th March 2000,11,14,17,25,36,38,0,$10 Million,R,,,,
4th March 2000,3,6,8,43,48,1,0,$150 Million,3,KS,MO,MN,
1st March 2000,21,22,29,30,38,39,0,$107 Million,R,,,,
26th February 2000,7,9,23,37,49,7,0,$83 Million,R,,,,
23rd February 2000,12,16,20,26,32,35,0,$69.9 Million,R,,,,
19th February 2000,14,23,24,45,48,21,0,$59.5 Million,R,,,,
16th February 2000,9,10,12,31,41,37,0,$51.3 Million,R,,,,
12th February 2000,21,24,37,44,45,24,0,$44.3 Million,R,,,,
9th February 2000,5,29,36,40,49,30,0,$37.9 Million,R,,,,
5th February 2000,6,11,34,41,44,20,0,$32.8 Million,R,,,,
2nd February 2000,6,10,12,16,29,33,0,$27.8 Million,R,,,,
29th January 2000,6,8,28,32,47,26,0,$23.5 Million,R,,,,
26th January 2000,18,25,30,43,46,18,0,$19.1 Million,R,,,,
22nd January 2000,4,16,32,34,41,25,0,$16 Million,R,,,,
19th January 2000,12,31,35,37,44,34,0,$14 Million,R,,,,
15th January 2000,1,6,21,33,40,28,0,$12 Million,R,,,,
12th January 2000,9,32,38,41,44,27,0,$10 Million,R,,,,
8th January 2000,7,28,35,40,48,14,0,$31.8 Million,1,IA,,,
5th January 2000,5,15,16,28,32,39,0,$26.9 Million,R,,,,
1st January 2000,9,13,23,36,45,39,0,$23 Million,R,,,,
29th December 2001,10,15,27,43,45,31,2,$33.5 Million,R,,,,
26th December 2001,8,19,23,39,41,21,3,$28.3 Million,R,,,,
22nd December 2001,14,24,27,33,34,6,3,$24.4 Million,R,,,,
19th December 2001,20,26,35,36,43,23,4,$19.8 Million,R,,,,
15th December 2001,8,11,13,22,37,17,4,$16 Million,R,,,,
12th December 2001,4,20,35,43,47,27,4,$14 Million,R,,,,
8th December 2001,17,26,31,35,48,35,2,$12 Million,R,,,,
5th December 2001,8,9,13,14,21,37,3,$10 Million,R,,,,
1st December 2001,6,38,41,46,48,37,2,$29.4 Million,1,MN,,,
28th November 2001,5,15,18,24,48,16,2,$24.5 Million,R,,,,
24th November 2001,10,12,27,37,42,30,5,$20.4 Million,R,,,,
21st November 2001,27,28,31,38,41,13,1,$16.2 Million,R,,,,
17th November 2001,1,7,10,27,35,34,4,$14 Million,R,,,,
14th November 2001,4,17,28,30,40,3,1,$12 Million,R,,,,
10th November 2001,7,13,16,33,38,13,4,$10 Million,R,,,,
7th November 2001,2,4,6,17,25,31,1,$55.2 Million,1,DC,,,
3rd November 2001,6,14,36,37,49,20,3,$49.6 Million,R,,,,
31st October 2001,2,16,18,35,40,41,5,$44.9 Million,R,,,,
27th October 2001,1,10,17,28,45,20,5,$40 Million,R,,,,
24th October 2001,6,15,24,27,42,32,5,$34.9 Million,R,,,,
20th October 2001,7,16,33,40,47,33,2,$30.4 Million,R,,,,
17th October 2001,5,7,29,40,46,5,1,$25.4 Million,R,,,,
13th October 2001,37,40,41,46,48,20,2,$21.2 Million,R,,,,
10th October 2001,1,7,8,16,19,37,5,$16.5 Million,R,,,,
6th October 2001,1,5,9,21,31,12,1,$14 Million,R,,,,
3rd October 2001,2,20,23,35,49,25,5,$12 Million,R,,,,
29th September 2001,2,15,21,29,47,12,4,$10 Million,R,,,,
26th September 2001,18,26,30,35,44,19,4,$48.3 Million,1,IN,,,
22nd September 2001,23,27,34,39,42,40,1,$42.8 Million,R,,,,
19th September 2001,21,26,28,31,41,29,5,$36.5 Million,R,,,,
15th September 2001,19,28,33,43,49,23,3,$31.5 Million,R,,,,
12th September 2001,13,25,35,39,47,1,3,$26.6 Million,R,,,,
8th September 2001,6,12,13,28,48,26,3,$22 Million,R,,,,
5th September 2001,14,18,24,33,42,8,5,$16.4 Million,R,,,,
1st September 2001,7,24,27,30,44,29,1,$12 Million,R,,,,
29th August 2001,4,9,32,35,49,28,3,$10 Million,R,,,,
25th August 2001,8,17,22,42,47,21,2,$295 Million,4,DE,KY,MN,NH
22nd August 2001,2,28,30,36,39,10,3,$193 Million,R,,,,
18th August 2001,3,14,20,22,48,17,1,$129 Million,R,,,,
15th August 2001,29,37,40,43,44,6,5,$103 Million,R,,,,
11th August 2001,11,14,20,25,41,8,4,$85.6 Million,R,,,,
8th August 2001,2,10,25,37,41,2,2,$75.5 Million,R,,,,
4th August 2001,16,20,24,26,46,9,3,$66.7 Million,R,,,,
1st August 2001,24,25,26,34,39,31,4,$58.6 Million,R,,,,
28th July 2001,4,23,33,36,45,29,1,$52.4 Million,R,,,,
25th July 2001,16,23,29,37,39,17,2,$45.9 Million,R,,,,
21st July 2001,3,15,19,20,27,20,5,$40.9 Million,R,,,,
18th July 2001,4,9,26,31,49,2,2,$35.7 Million,R,,,,
14th July 2001,1,13,15,27,41,2,4,$31.3 Million,R,,,,
11th July 2001,10,16,18,24,26,13,5,$26.9 Million,R,,,,
7th July 2001,3,9,22,34,46,17,1,$22.8 Million,R,,,,
4th July 2001,3,25,26,28,30,10,3,$18.5 Million,R,,,,
30th June 2001,3,6,33,34,39,15,2,$16 Million,R,,,,
27th June 2001,3,7,13,16,35,22,3,$14 Million,R,,,,
23rd June 2001,6,35,38,40,42,36,2,$12 Million,R,,,,
20th June 2001,5,9,14,18,49,32,1,$10 Million,R,,,,
16th June 2001,2,13,17,44,45,14,1,$19.6 Million,1,MO,,,
13th June 2001,9,32,34,36,41,14,2,$16 Million,R,,,,
9th June 2001,20,23,37,42,43,27,3,$14 Million,R,,,,
6th June 2001,10,20,21,40,45,22,1,$12 Million,R,,,,
2nd June 2001,10,17,26,45,48,38,5,$10 Million,R,,,,
30th May 2001,11,12,28,36,43,9,1,$61.9 Million,1,MO,,,
26th May 2001,9,10,21,24,40,36,4,$55.8 Million,R,,,,
23rd May 2001,19,21,32,34,49,38,2,$48.9 Million,R,,,,
19th May 2001,6,10,21,47,49,2,2,$43.9 Million,R,,,,
16th May 2001,12,13,20,28,44,17,5,$38.2 Million,R,,,,
12th May 2001,11,16,28,29,36,21,5,$33.6 Million,R,,,,
9th May 2001,9,14,19,22,49,34,2,$28.6 Million,R,,,,
5th May 2001,7,9,19,20,45,5,2,$24.4 Million,R,,,,
2nd May 2001,2,19,30,36,42,19,2,$20 Million,R,,,,
28th April 2001,1,11,20,34,39,37,5,$16 Million,R,,,,
25th April 2001,14,26,28,29,39,39,1,$14 Million,R,,,,
21st April 2001,5,24,25,30,38,40,2,$12 Million,R,,,,
18th April 2001,6,11,18,20,44,39,3,$10 Million,R,,,,
14th April 2001,3,8,16,29,30,4,2,$83.9 Million,1,AZ,,,
11th April 2001,4,21,32,39,41,31,3,$74.1 Million,R,,,,
7th April 2001,18,20,31,37,41,1,4,$66.1 Million,R,,,,
4th April 2001,5,12,13,16,43,11,3,$58.8 Million,R,,,,
31st March 2001,11,27,37,39,41,42,2,$52.5 Million,R,,,,
28th March 2001,4,12,27,31,43,20,5,$45.2 Million,R,,,,
24th March 2001,2,28,37,40,49,22,5,$40 Million,R,,,,
21st March 2001,13,14,18,20,21,16,1,$34.7 Million,R,,,,
17th March 2001,15,16,18,20,36,18,5,$30.1 Million,R,,,,
14th March 2001,12,22,27,42,49,34,2,$25.3 Million,R,,,,
10th March 2001,12,19,26,30,33,11,3,$21 Million,R,,,,
7th March 2001,9,23,32,40,45,31,5,$16 Million,R,,,,
3rd March 2001,8,9,23,36,44,15,0,$14 Million,R,,,,
28th February 2001,1,3,9,46,47,22,0,$12 Million,R,,,,
24th February 2001,29,30,34,41,49,37,0,$10 Million,R,,,,
21st February 2001,4,10,32,39,45,25,0,$93.5 Million,1,RI,,,
17th February 2001,4,22,31,39,41,6,0,$79.9 Million,R,,,,
14th February 2001,5,18,29,41,42,16,0,$68.9 Million,R,,,,
10th February 2001,16,38,41,46,47,25,0,$60.6 Million,R,,,,
7th February 2001,4,6,7,31,33,20,0,$53.1 Million,R,,,,
3rd February 2001,21,27,29,41,44,9,0,$47 Million,R,,,,
31st January 2001,15,21,27,37,47,16,0,$41.8 Million,R,,,,
27th January 2001,8,19,32,41,45,37,0,$36.8 Million,R,,,,
24th January 2001,31,34,39,42,49,26,0,$30.9 Million,R,,,,
20th January 2001,1,11,25,29,36,40,0,$26.7 Million,R,,,,
17th January 2001,9,16,28,31,48,36,0,$22.4 Million,R,,,,
13th January 2001,14,19,23,29,42,26,0,$18.6 Million,R,,,,
10th January 2001,6,9,22,23,35,6,0,$16 Million,R,,,,
6th January 2001,1,22,24,39,43,26,0,$14 Million,R,,,,
3rd January 2001,9,19,29,38,49,20,0,$12 Million,R,,,,
28th December 2002,2,15,38,43,50,29,5,$10 Million,R,,,,
25th December 2002,5,14,16,29,53,7,4,$314 Million,1,WV,,,
21st December 2002,5,22,34,39,52,30,5,$217 Million,R,,,,
18th December 2002,2,14,33,50,52,22,5,$163 Million,R,,,,
14th December 2002,8,17,24,42,44,37,2,$129 Million,R,,,,
11th December 2002,6,12,14,22,33,21,3,$106 Million,R,,,,
7th December 2002,3,17,27,32,48,1,2,$89.2 Million,R,,,,
4th December 2002,13,20,21,35,40,35,4,$78 Million,R,,,,
30th November 2002,1,4,19,21,29,8,2,$68.2 Million,R,,,,
27th November 2002,1,20,25,40,53,19,5,$59.7 Million,R,,,,
23rd November 2002,15,16,19,21,49,5,4,$51.7 Million,R,,,,
20th November 2002,14,21,22,29,44,3,3,$43.5 Million,R,,,,
16th November 2002,32,33,35,40,51,1,2,$36.6 Million,R,,,,
13th November 2002,18,23,31,38,50,20,5,$29.5 Million,R,,,,
9th November 2002,30,36,38,40,53,8,5,$23.6 Million,R,,,,
6th November 2002,9,11,12,17,19,23,5,$17.1 Million,R,,,,
2nd November 2002,8,15,32,34,35,34,4,$12 Million,R,,,,
30th October 2002,9,16,19,23,41,12,5,$10 Million,R,,,,
26th October 2002,12,14,27,33,39,41,3,$83.5 Million,1,IN,,,
23rd October 2002,2,14,18,30,31,36,5,$72.1 Million,R,,,,
19th October 2002,4,18,20,25,42,29,4,$62.6 Million,R,,,,
16th October 2002,8,11,24,31,37,41,5,$50.8 Million,R,,,,
12th October 2002,23,26,46,49,52,28,5,$43.9 Million,R,,,,
9th October 2002,9,10,38,42,43,5,4,$36.4 Million,R,,,,
5th October 2002,14,19,22,39,43,12,2,$27 Million,R,,,,
2nd October 2002,2,4,5,38,43,34,2,$22.1 Million,R,,,,
28th September 2002,12,22,24,31,35,8,3,$17.7 Million,R,,,,
25th September 2002,1,12,23,36,49,9,2,$14 Million,R,,,,
21st September 2002,3,11,28,40,45,33,5,$12 Million,R,,,,
18th September 2002,6,27,32,42,44,10,5,$10 Million,R,,,,
14th September 2002,5,14,26,31,40,29,4,$103 Million,2,PA,IN,,
11th September 2002,3,6,26,39,48,28,3,$87 Million,R,,,,
7th September 2002,6,12,19,24,34,18,5,$77.3 Million,R,,,,
4th September 2002,15,18,26,31,36,20,5,$70.1 Million,R,,,,
31st August 2002,12,14,22,29,41,41,5,$62.4 Million,R,,,,
28th August 2002,24,30,36,37,38,42,2,$55.3 Million,R,,,,
24th August 2002,5,10,18,24,45,20,5,$49.1 Million,R,,,,
21st August 2002,1,6,43,47,48,36,1,$42.6 Million,R,,,,
17th August 2002,3,26,33,42,46,41,3,$37.3 Million,R,,,,
14th August 2002,4,16,19,33,41,29,2,$32 Million,R,,,,
10th August 2002,11,16,21,27,35,31,5,$27.2 Million,R,,,,
7th August 2002,13,35,40,46,47,35,4,$22.1 Million,R,,,,
3rd August 2002,13,19,24,33,34,41,5,$17.7 Million,R,,,,
31st July 2002,2,4,6,22,34,26,4,$14 Million,R,,,,
27th July 2002,2,5,17,22,44,30,1,$12 Million,R,,,,
24th July 2002,16,19,22,34,37,20,4,$10 Million,R,,,,
20th July 2002,2,3,6,13,26,10,1,$41.5 Million,1,KY,,,
17th July 2002,10,11,25,40,45,25,5,$35 Million,R,,,,
13th July 2002,3,22,37,42,49,8,3,$30.2 Million,R,,,,
10th July 2002,26,31,37,43,45,32,5,$25.5 Million,R,,,,
6th July 2002,2,9,27,36,39,13,3,$20.9 Million,R,,,,
3rd July 2002,7,19,38,48,49,10,5,$16.5 Million,R,,,,
29th June 2002,4,33,35,36,45,22,5,$14 Million,R,,,,
26th June 2002,6,9,17,23,24,14,4,$12 Million,R,,,,
22nd June 2002,1,16,26,37,48,9,2,$10 Million,R,,,,
19th June 2002,1,3,4,7,11,23,3,$14 Million,1,KY,,,
15th June 2002,7,8,16,42,43,15,3,$12 Million,R,,,,
12th June 2002,13,18,27,39,49,20,1,$10 Million,R,,,,
8th June 2002,26,37,42,46,48,38,3,$30.6 Million,1,WV,,,
5th June 2002,1,18,21,36,47,33,2,$25.5 Million,R,,,,
1st June 2002,2,6,17,19,27,2,3,$21.3 Million,R,,,,
29th May 2002,18,28,31,35,49,13,1,$16.7 Million,R,,,,
25th May 2002,9,29,30,33,42,27,4,$14 Million,R,,,,
22nd May 2002,5,20,22,23,34,19,1,$12 Million,R,,,,
18th May 2002,2,18,25,31,32,1,2,$10 Million,R,,,,
15th May 2002,30,33,36,37,49,35,5,$78.7 Million,1,MA,,,
11th May 2002,3,15,16,36,40,22,1,$69.8 Million,R,,,,
8th May 2002,6,11,25,28,34,35,3,$61.2 Million,R,,,,
4th May 2002,6,7,9,12,20,20,5,$54.2 Million,R,,,,
1st May 2002,3,26,32,45,48,6,5,$47.9 Million,R,,,,
27th April 2002,1,9,12,18,33,14,1,$42.2 Million,R,,,,
24th April 2002,1,13,16,33,43,1,2,$36.8 Million,R,,,,
20th April 2002,27,34,40,42,44,8,4,$31.9 Million,R,,,,
17th April 2002,2,3,22,23,36,22,2,$26.1 Million,R,,,,
13th April 2002,16,22,32,33,38,13,4,$21.5 Million,R,,,,
10th April 2002,7,12,17,29,48,21,3,$16.6 Million,R,,,,
6th April 2002,15,16,22,30,35,20,5,$14 Million,R,,,,
3rd April 2002,8,14,17,29,36,3,1,$12 Million,R,,,,
30th March 2002,8,13,16,19,29,37,1,$10 Million,R,,,,
27th March 2002,15,35,40,43,46,33,3,$48.1 Million,1,LA,,,
23rd March 2002,1,2,10,39,48,13,1,$42.6 Million,R,,,,
20th March 2002,4,20,25,30,49,37,5,$36.9 Million,R,,,,
16th March 2002,10,16,37,38,45,14,5,$32 Million,R,,,,
13th March 2002,4,27,28,33,49,39,2,$26.1 Million,R,,,,
9th March 2002,2,12,38,44,49,19,3,$21.7 Million,R,,,,
6th March 2002,5,7,15,30,38,2,5,$16.7 Million,R,,,,
2nd March 2002,6,22,25,36,46,34,4,$14 Million,R,,,,
27th February 2002,1,2,6,19,45,27,4,$12 Million,R,,,,
23rd February 2002,8,15,19,21,38,33,1,$10 Million,R,,,,
20th February 2002,8,9,19,22,25,11,5,$32 Million,1,NM,,,
16th February 2002,19,31,32,42,45,6,5,$27.1 Million,R,,,,
13th February 2002,2,10,33,38,43,19,4,$22 Million,R,,,,
9th February 2002,17,21,30,35,36,12,1,$18 Million,R,,,,
6th February 2002,10,24,28,34,35,32,3,$14 Million,R,,,,
2nd February 2002,12,19,27,43,45,28,1,$12 Million,R,,,,
30th January 2002,7,9,15,21,40,18,2,$10 Million,R,,,,
26th January 2002,5,14,15,22,30,31,4,$95.3 Million,1,AZ,,,
23rd January 2002,14,18,30,32,47,36,5,$80.8 Million,R,,,,
19th January 2002,21,23,35,41,49,5,2,$71 Million,R,,,,
16th January 2002,24,31,34,40,47,30,2,$61.4 Million,R,,,,
12th January 2002,13,19,22,41,47,5,3,$54.6 Million,R,,,,
9th January 2002,7,39,40,42,43,4,5,$49.1 Million,R,,,,
5th January 2002,7,8,14,17,32,15,5,$43.6 Million,R,,,,
2nd January 2002,23,36,42,44,46,33,3,$37.9 Million,R,,,,
31st December 2003,5,7,18,28,35,1,3,$221 Million,2,PA,SC,,
27th December 2003,16,17,32,34,43,31,5,$168 Million,R,,,,
24th December 2003,1,6,31,34,44,25,3,$143 Million,R,,,,
20th December 2003,12,20,24,25,48,37,4,$117 Million,R,,,,
17th December 2003,15,18,19,21,43,7,5,$100 Million,R,,,,
13th December 2003,17,19,25,26,44,19,3,$86.6 Million,R,,,,
10th December 2003,4,17,26,37,40,15,4,$75.7 Million,R,,,,
6th December 2003,21,24,37,41,45,39,5,$66.2 Million,R,,,,
3rd December 2003,1,10,35,37,43,30,4,$56.5 Million,R,,,,
29th November 2003,14,36,39,43,51,15,5,$48.2 Million,R,,,,
26th November 2003,1,3,16,37,41,19,5,$40.2 Million,R,,,,
22nd November 2003,9,12,17,29,45,4,2,$32.7 Million,R,,,,
19th November 2003,16,26,36,42,47,33,4,$25.5 Million,R,,,,
15th November 2003,8,20,22,32,52,39,5,$19.2 Million,R,,,,
12th November 2003,7,11,19,20,22,1,4,$12.6 Million,R,,,,
8th November 2003,5,8,24,38,52,22,5,$10 Million,R,,,,
5th November 2003,6,20,27,38,39,31,5,$12.8 Million,1,IN,,,
1st November 2003,16,19,34,37,47,18,5,$10 Million,R,,,,
29th October 2003,8,19,22,34,53,29,3,$10 Million,1,IN,,,
25th October 2003,6,17,45,47,48,4,3,$190 Million,2,IN,MN,,
22nd October 2003,3,25,27,28,53,35,5,$162 Million,R,,,,
18th October 2003,22,25,33,34,35,14,5,$140 Million,R,,,,
15th October 2003,6,9,29,39,52,8,5,$119 Million,R,,,,
11th October 2003,11,14,21,32,45,21,2,$104 Million,R,,,,
8th October 2003,1,6,7,8,25,18,5,$88.6 Million,R,,,,
4th October 2003,8,13,29,44,48,36,3,$78.2 Million,R,,,,
1st October 2003,4,5,19,21,50,41,2,$68 Million,R,,,,
27th September 2003,9,20,30,41,48,29,5,$59.2 Million,R,,,,
24th September 2003,17,19,20,28,47,37,4,$50.9 Million,R,,,,
20th September 2003,11,13,28,31,33,29,4,$43 Million,R,,,,
17th September 2003,2,19,24,32,34,2,5,$34.9 Million,R,,,,
13th September 2003,6,10,19,28,32,39,5,$27.7 Million,R,,,,
10th September 2003,3,17,29,30,33,34,5,$20.4 Million,R,,,,
6th September 2003,6,15,18,20,41,17,5,$13.7 Million,R,,,,
3rd September 2003,6,9,19,24,40,31,5,$10 Million,R,,,,
30th August 2003,9,35,36,41,49,33,3,$135 Million,2,NH,MA,,
27th August 2003,24,31,36,42,46,32,5,$116 Million,R,,,,
23rd August 2003,1,39,46,50,51,7,5,$99.5 Million,R,,,,
20th August 2003,8,22,35,46,48,15,5,$85.3 Million,R,,,,
16th August 2003,13,15,20,37,42,7,5,$73.8 Million,R,,,,
13th August 2003,26,31,35,44,48,32,2,$60.8 Million,R,,,,
9th August 2003,18,23,25,26,40,15,4,$51.7 Million,R,,,,
6th August 2003,11,14,26,31,48,30,2,$43.4 Million,R,,,,
2nd August 2003,17,40,41,42,46,25,3,$35.5 Million,R,,,,
30th July 2003,18,22,26,31,49,28,2,$26.3 Million,R,,,,
26th July 2003,9,10,30,32,34,11,3,$19.7 Million,R,,,,
23rd July 2003,4,16,34,37,51,38,5,$12.7 Million,R,,,,
19th July 2003,14,29,30,34,48,1,5,$10 Million,R,,,,
16th July 2003,18,27,28,30,49,20,5,$13.5 Million,1,KY,,,
12th July 2003,6,16,50,51,52,23,4,$10 Million,R,,,,
9th July 2003,19,21,26,31,51,40,3,$261 Million,2,MO,PA,,
5th July 2003,5,17,25,37,49,21,2,$198 Million,R,,,,
2nd July 2003,16,17,24,26,45,36,5,$160 Million,R,,,,
28th June 2003,7,9,14,41,44,25,4,$134 Million,R,,,,
25th June 2003,5,26,35,43,50,4,4,$111 Million,R,,,,
21st June 2003,15,19,27,36,44,17,5,$95.6 Million,R,,,,
18th June 2003,19,20,21,45,46,20,4,$82.7 Million,R,,,,
14th June 2003,12,26,40,42,50,3,5,$72.8 Million,R,,,,
11th June 2003,12,16,43,44,46,38,2,$65.1 Million,R,,,,
7th June 2003,11,17,26,27,40,6,3,$57.2 Million,R,,,,
4th June 2003,2,14,24,26,53,1,2,$48.7 Million,R,,,,
31st May 2003,10,26,30,46,52,35,3,$42 Million,R,,,,
28th May 2003,6,16,17,19,38,16,5,$34.5 Million,R,,,,
24th May 2003,10,42,48,49,50,42,5,$28.8 Million,R,,,,
21st May 2003,4,30,32,35,41,9,2,$22.7 Million,R,,,,
17th May 2003,5,13,18,42,50,4,2,$17.1 Million,R,,,,
14th May 2003,20,33,34,45,52,21,5,$12 Million,R,,,,
10th May 2003,1,2,6,10,20,38,4,$10 Million,R,,,,
7th May 2003,13,18,34,35,51,28,5,$88.7 Million,1,SC,,,
3rd May 2003,14,21,39,40,47,6,5,$77.8 Million,R,,,,
30th April 2003,7,13,17,32,33,35,4,$66.8 Million,R,,,,
26th April 2003,5,11,13,22,36,31,4,$58.5 Million,R,,,,
23rd April 2003,14,15,23,31,51,34,2,$51.4 Million,R,,,,
19th April 2003,10,18,40,46,48,30,5,$44.2 Million,R,,,,
16th April 2003,4,25,39,41,50,31,5,$36.6 Million,R,,,,
12th April 2003,17,27,28,35,52,2,5,$30.5 Million,R,,,,
9th April 2003,6,28,35,38,51,41,2,$23.7 Million,R,,,,
5th April 2003,7,14,23,46,49,20,5,$17.9 Million,R,,,,
2nd April 2003,12,17,35,47,50,13,4,$12 Million,R,,,,
