What is your gender?,Have you *ever played* the PowerBall lottery?,How many times a *month* do you play the PowerBall?,How do you pick your numbers?,Approximately how much money do you think you spend per *month* playing the Powerball?,What is your *approximate* annual income?,How many people in your household (*including yourself*)?,Have you *ever* won *any* money from playing the Powerball?,What was the *largest* prize you have won while playing the PowerBall?,What was your approximate age when you won?,In what state did you purchase a* winning* Powerball ticket?,Have you purchased a *winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* winning* Powerball ticket in?,Have you purchased a *winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* winning* Powerball ticket in?,Have you purchased a *winning* Powerball ticket in *any other state*?,What type of vendor(s) have you purchased your *winning* Powerball tickets from?,In what state did you purchase a *non-winning* Powerball ticket from?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,What type of vendor(s) have you purchased *non-winning* Powerball tickets from?,What is your current age?,Submitted At
Male,"Yes, occasionally",Almost never,B + C (I would get two tickets),Less than $10,"$78,951 - 149,999",4,TRUE,Less than $24.99,,"Washington, D.C.",FALSE,,,,,Liquor Store,"Washington, D.C.",FALSE,,,,,,,,,,Convenience Store,,6/3/2020 3:17
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),$10- $49,"$50,000 - $78,950",3,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,Grocery Store,,6/3/2020 2:19
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 1:50
Male,"I have in the past, but not anymore",Almost never,"Choose my own - different numbers each time, Quick Pick (let the machine pick my numbers)",1,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Virginia,FALSE,,,,,,,,,,Gas Station,,6/3/2020 1:19
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 1:18
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",3,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,"Grocery Store, Convenience Store",,6/3/2020 1:15
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",1,FALSE,,,,,,,,,,Kentucky,FALSE,,,,,,,,,,Gas Station,,6/3/2020 1:07
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 0:59
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",5,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,Gas Station,,6/3/2020 0:54
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 0:51
Male,"Yes, all the time",Once a week,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",6,FALSE,,,,,,,,,,Tennessee,TRUE,Texas,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 0:43
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Tennessee,FALSE,,,,,,,,,,Gas Station,,6/3/2020 0:22
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 0:19
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 0:00
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"Less than $19,400",1,FALSE,,,,,,,,,,Colorado,FALSE,,,,,,,,,,Convenience Store,,6/2/2020 23:55
Female,"Yes, occasionally",Less than 2 times a month,Choose my own - same numbers each time,$10- $49,"Less than $19,400",2,TRUE,$25 - $999,,Florida,FALSE,,,,,Grocery Store,South Dakota,TRUE,Texas,FALSE,,,,,,,,Grocery Store,,6/2/2020 23:35
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",3,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,Convenience Store,,6/2/2020 23:26
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 23:13
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 23:09
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",5,FALSE,,,,,,,,,,Pennsylvania,FALSE,,,,,,,,,,"Grocery Store, Convenience Store",,6/2/2020 23:00
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 22:46
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",4,FALSE,,,,,,,,,,Illinois,FALSE,,,,,,,,,,Convenience Store,,6/2/2020 22:46
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 22:45
Female,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"Less than $19,400",2,FALSE,,,,,,,,,,Florida,TRUE,Georgia,FALSE,,,,,,,,Convenience Store,,6/2/2020 22:36
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 22:33
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",4,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,"Grocery Store, Gas Station",,6/2/2020 22:24
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Georgia,TRUE,California,TRUE,Arizona,TRUE,Arizona,TRUE,Arizona,FALSE,,Gas Station,,6/2/2020 21:59
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",5,FALSE,,,,,,,,,,Minnesota,FALSE,,,,,,,,,,Gas Station,,6/2/2020 21:55
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:55
Female,"Yes, occasionally",Less than 2 times a month,"Choose my own - different numbers each time, Quick Pick (let the machine pick my numbers)",Less than $10,"Less than $19,400",2,TRUE,Less than $24.99,,Missouri,FALSE,,,,,"Convenience Store, Gas Station",Missouri,TRUE,Kansas,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/2/2020 21:49
Prefer not to answer,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:46
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",5,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,"Convenience Store, Grocery Store",,6/2/2020 21:45
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"Less than $19,400",2,FALSE,,,,,,,,,,Louisiana,FALSE,,,,,,,,,,Gas Station,,6/2/2020 21:42
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:41
Male,"Yes, occasionally",Less than 2 times a month,"Quick Pick (let the machine pick my numbers), Choose my own - same numbers each time",Less than $10,"$19,401 - $49,999",6,TRUE,Less than $24.99,,Nebraska,FALSE,,,,,"Gas Station, Convenience Store, Grocery Store, Drug Store",Iowa,FALSE,,,,,,,,,,"Gas Station, Grocery Store",,6/2/2020 21:39
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:38
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:30
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",3,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,Convenience Store,,6/2/2020 21:23
Female,"Yes, occasionally",Once every other week,"Quick Pick (let the machine pick my numbers), Choose my own - different numbers each time",$10- $49,"$78,951 - 149,999",2,TRUE,$25 - $999,,Florida,FALSE,,,,,"Gas Station, Grocery Store",Florida,FALSE,,,,,,,,,,"Gas Station, Grocery Store",,6/2/2020 21:18
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:10
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 21:07
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,TRUE,Less than $24.99,,Ohio,TRUE,New York,FALSE,,,"Gas Station, Convenience Store",Ohio,TRUE,New York,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/2/2020 21:06
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:40
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:39
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:38
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:37
non-binary,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:37
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:36
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",2,TRUE,Less than $24.99,,Florida,FALSE,,,,,Grocery Store,Florida,FALSE,,,,,,,,,,Grocery Store,,6/2/2020 20:35
Male,"I have in the past, but not anymore",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$150,000 +",4,FALSE,,,,,,,,,,Louisiana,FALSE,,,,,,,,,,Gas Station,,6/2/2020 20:27
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",2,FALSE,,,,,,,,,,Oregon,FALSE,,,,,,,,,,"Gas Station, Convenience Store",,6/2/2020 20:24
Male,Once,Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",5,FALSE,,,,,,,,,,Iowa,FALSE,,,,,,,,,,Drug Store,,6/2/2020 20:22
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:16
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:16
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Virginia,FALSE,,,,,,,,,,Convenience Store,,6/2/2020 20:14
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Florida,TRUE,Florida,FALSE,,,,,,,,Gas Station,,6/2/2020 20:13
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:13
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 20:12
Female,"Yes, occasionally",Less than 2 times a month,Choose my own - same numbers each time,$10- $49,"$19,401 - $49,999",1,TRUE,$25 - $999,,Tennessee,FALSE,,,,,"Gas Station, Grocery Store",Tennessee,FALSE,,,,,,,,,,"Gas Station, Grocery Store",,6/2/2020 20:02
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",4,FALSE,,,,,,,,,,Georgia,TRUE,Louisiana,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/2/2020 19:54
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 19:53
Male,"Yes, occasionally",Less than 2 times a month,"Choose my own - different numbers each time, Quick Pick (let the machine pick my numbers)",Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,North Carolina,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/2/2020 19:53
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 19:52
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 19:51
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2020 19:51
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),1,"$19,401 - $49,999",1,TRUE,Less than $24.99,,Missouri,FALSE,,,,,Gas Station,Kansas,FALSE,,,,,,,,,,Gas Station,,6/2/2020 19:51
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less then 10 a year,"$19,401 - $49,999",4,FALSE,,,,,,,,,,Arizona,TRUE,Florida,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store, Drug Store",,6/2/2020 19:42
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",4,TRUE,Less than $24.99,,Florida,TRUE,Georgia,FALSE,,,"Convenience Store, Gas Station, Grocery Store",Florida,TRUE,Georgia,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/2/2020 19:42
Female,"Yes, occasionally",Less than 2 times a month,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",5,FALSE,,,,,,,,,,Ohio,TRUE,West Virginia,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/2/2020 19:26
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",2,TRUE,Less than $24.99,,Florida,TRUE,Indiana,TRUE,Georgia,FALSE,Convenience Store,Florida,TRUE,Georgia,TRUE,Indiana,TRUE,Kentucky,TRUE,Tennessee,FALSE,,Convenience Store,,6/2/2020 19:25
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 4:47
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",1,TRUE,"$1,000 - $99,999",,New Jersey,FALSE,,,,,"Grocery Store, Gas Station",New Jersey,TRUE,Pennsylvania,TRUE,Maryland,TRUE,New York,TRUE,California,TRUE,Washington State,Convenience Store,,6/3/2020 4:54
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:04
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",1,FALSE,,,,,,,,,,New Mexico,FALSE,,,,,,,,,,Gas Station,,6/3/2020 5:04
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",7,FALSE,,,,,,,,,,West Virginia,FALSE,,,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 5:06
Prefer not to answer,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:10
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:10
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",3,FALSE,,,,,,,,,,California,FALSE,,,,,,,,,,Convenience Store,,6/3/2020 5:11
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:19
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,TRUE,Less than $24.99,,Washington State,FALSE,,,,,Grocery Store,Washington State,FALSE,,,,,,,,,,Grocery Store,,6/3/2020 5:20
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",3,FALSE,,,,,,,,,,Texas,FALSE,,,,,,,,,,Gas Station,,6/3/2020 5:27
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:31
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:31
Female,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",3,FALSE,,,,,,,,,,Georgia,TRUE,California,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 5:32
Male,A few times when I'm hanging out with someone who buys a ticket. ,Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$150,000 +",2,FALSE,,,,,,,,,,Kentucky,FALSE,,,,,,,,,,Gas Station,,6/3/2020 5:32
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:33
Female,"Yes, all the time",Every Drawing,Choose my own - different numbers each time,$10- $49,"$50,000 - $78,950",3,TRUE,$25 - $999,,Washington State,TRUE,Oregon,FALSE,,,"Convenience Store, Grocery Store, Gas Station",Oregon,FALSE,,,,,,,,,,Gas Station,,6/3/2020 5:33
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:33
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",1,TRUE,Less than $24.99,,Arizona,TRUE,California,FALSE,,,"Gas Station, Convenience Store, Grocery Store",Iowa,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 5:38
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:41
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 5:44
Male,"Yes, all the time",Once a week,Quick Pick (let the machine pick my numbers),$10- $49,"$78,951 - 149,999",2,TRUE,$25 - $999,,Virginia,TRUE,New Jersey,FALSE,,,"Convenience Store, Gas Station, Grocery Store",New Jersey,TRUE,Virginia,TRUE,Colorado,TRUE,Connecticut,TRUE,Delaware,TRUE,Maryland,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 5:46
Female,"I have in the past, but not anymore",Almost never,"Choose my own - same numbers each time, Choose my own - different numbers each time",Less than $10,"Less than $19,400",2,TRUE,Less than $24.99,,Illinois,FALSE,,,,,Convenience Store,Illinois,FALSE,,,,,,,,,,Convenience Store,,6/3/2020 6:01
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:02
Male,"Yes, occasionally",Less than 2 times a month,Choose my own - different numbers each time,$10- $49,"Less than $19,400",6,FALSE,,,,,,,,,,Texas,FALSE,,,,,,,,,,Grocery Store,,6/3/2020 6:03
Male,"Yes, occasionally",Less than 2 times a month,"Choose my own - different numbers each time, Quick Pick (let the machine pick my numbers)",$10- $49,"Less than $19,400",4,FALSE,,,,,,,,,,Virginia,TRUE,Virginia,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 6:06
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:06
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:12
Female,"Yes, occasionally",Almost never,"Choose my own - different numbers each time, Choose my own - same numbers each time, Quick Pick (let the machine pick my numbers)",Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,North Carolina,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 6:13
Female,"I have in the past, but not anymore",Almost never,Choose my own - same numbers each time,Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,Florida,TRUE,Connecticut,FALSE,,,,,,,,"Gas Station, Grocery Store",,6/3/2020 6:15
Female,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,California,FALSE,,,,,,,,,,"Convenience Store, Grocery Store",,6/3/2020 6:16
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:17
Female,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Georgia,FALSE,,,,,,,,,,Convenience Store,,6/3/2020 6:18
Male,"Yes, occasionally",Almost never,"Quick Pick (let the machine pick my numbers), Choose my own - different numbers each time",Less than $10,"$50,000 - $78,950",1,TRUE,Less than $24.99,,Minnesota,FALSE,,,,,"Gas Station, Grocery Store, Convenience Store",Minnesota,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 6:18
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:19
Male,"I have in the past, but not anymore",Less than 2 times a month,Choose my own - different numbers each time,Less than $10,"$78,951 - 149,999",5,TRUE,"$100,000 - $999,999",,Virginia,FALSE,,,,,"Convenience Store, Gas Station",Virginia,FALSE,,,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 6:20
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:20
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",3,TRUE,$25 - $999,,Oregon,FALSE,,,,,"Gas Station, Convenience Store",Oregon,TRUE,Montana,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 6:23
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:24
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:24
Male,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$150,000 +",4,FALSE,,,,,,,,,,Connecticut,TRUE,Massachusetts,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 6:28
Male,"Yes, occasionally",Almost never,"Quick Pick (let the machine pick my numbers), Choose my own - same numbers each time",Less than $10,"$50,000 - $78,950",6,FALSE,,,,,,,,,,Oregon,FALSE,,,,,,,,,,"Convenience Store, Grocery Store",,6/3/2020 6:28
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"Less than $19,400",4,FALSE,,,,,,,,,,Ohio,TRUE,Indiana,FALSE,,,,,,,,Gas Station,,6/3/2020 6:29
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),$10- $49,"$50,000 - $78,950",5,FALSE,,,,,,,,,,Georgia,FALSE,,,,,,,,,,Drug Store,,6/3/2020 6:29
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:31
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:37
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Indiana,TRUE,Colorado,FALSE,,,,,,,,Gas Station,,6/3/2020 6:40
Male,"Yes, occasionally",Once every other week,Quick Pick (let the machine pick my numbers),$10- $49,"$19,401 - $49,999",3,TRUE,Less than $24.99,,Texas,FALSE,,,,,Gas Station,Texas,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 6:42
Male,"Yes, occasionally",Less than 2 times a month,"Choose my own - same numbers each time, Quick Pick (let the machine pick my numbers)",Less than $10,"$150,000 +",2,TRUE,$25 - $999,,California,FALSE,,,,,"Gas Station, Convenience Store, Grocery Store, Drug Store",Washington State,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store, Drug Store",,6/3/2020 6:42
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:43
Female,"Yes, occasionally",Almost never,"Quick Pick (let the machine pick my numbers), Choose my own - different numbers each time",Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Minnesota,FALSE,,,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 6:52
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:57
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",1,TRUE,Less than $24.99,,Oregon,TRUE,Colorado,FALSE,,,"Gas Station, Convenience Store, Grocery Store",Colorado,TRUE,Oregon,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 6:57
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 6:58
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",2,FALSE,,,,,,,,,,Maryland,TRUE,Colorado,FALSE,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 6:59
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",1,FALSE,,,,,,,,,,Texas,FALSE,,,,,,,,,,"Convenience Store, Gas Station, Grocery Store",,6/3/2020 7:01
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 7:02
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 7:04
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 7:07
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 7:09
